;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;NM_BAIRRO;NM_ZONA
39130;MARAGOGIPE;118;217;PRÉDIO MUNICIPAL CLERALDO ANDRADE;POVOADO SERRARIA - ZONA RURAL;COQUEIROS;RURAL
39304;MARAGOGIPE;118;218;PRÉDIO MUNICIPAL CLERALDO ANDRADE;POVOADO SERRARIA - ZONA RURAL;COQUEIROS;RURAL
39470;MARAGOGIPE;118;219;PRÉDIO MUNICIPAL CLERALDO ANDRADE;POVOADO SERRARIA - ZONA RURAL;COQUEIROS;RURAL
39622;MARAGOGIPE;118;187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
39814;MARAGOGIPE;118;190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
40332;MARAGOGIPE;118;191;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
40492;MARAGOGIPE;118;192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
40688;MARAGOGIPE;118;193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
40860;MARAGOGIPE;118;241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
41210;MARAGOGIPE;118;243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
41381;MARAGOGIPE;118;244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA;PRAÇA DA CONCEIÇÃO - ZONA RURAL;COQUEIROS;RURAL
41729;MARAGOGIPE;118;247;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE;ESTRADA DE CAPANEMA - ZONA RURAL;GUAÍ;RURAL
41902;MARAGOGIPE;118;249;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE;ESTRADA DE CAPANEMA - ZONA RURAL;GUAÍ;RURAL
42082;MARAGOGIPE;118;251;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE;ESTRADA DE CAPANEMA - ZONA RURAL;GUAÍ;RURAL
42236;MARAGOGIPE;118;253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE;ESTRADA DE CAPANEMA - ZONA RURAL;GUAÍ;RURAL
42409;MARAGOGIPE;118;255;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE;ESTRADA DE CAPANEMA - ZONA RURAL;GUAÍ;RURAL
42583;MARAGOGIPE;118;230;PRÉDIO MUNICIPAL RECANTO VERDE;POVOADO CAROBAS - ZONA RURAL;GUAÍ;RURAL
43134;MARAGOGIPE;118;231;PRÉDIO MUNICIPAL RECANTO VERDE;POVOADO CAROBAS - ZONA RURAL;GUAÍ;RURAL
43287;MARAGOGIPE;118;220;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE;POVOADO DA PIEDADE - ZONA RURAL;GUAÍ;RURAL
43485;MARAGOGIPE;118;221;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE;POVOADO DA PIEDADE - ZONA RURAL;GUAÍ;RURAL
43651;MARAGOGIPE;118;222;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE;POVOADO DA PIEDADE - ZONA RURAL;GUAÍ;RURAL
43987;MARAGOGIPE;118;223;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE;POVOADO DA PIEDADE - ZONA RURAL;GUAÍ;RURAL
44140;MARAGOGIPE;118;259;ESCOLA MUNICIPAL SÃO JOSÉ;POVOADO DE BAIXÃO DO GUAÍ - ZONA RURAL;GUAÍ;RURAL
44319;MARAGOGIPE;118;257;PRÉDIO MUNICIPAL CAMARÃO;POVOADO DE CAMARÃO;GUAÍ;RURAL
44467;MARAGOGIPE;118;229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS;POVOADO QUIZANGA - ZONA RURAL;GUAÍ;RURAL
44602;MARAGOGIPE;118;195;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
44754;MARAGOGIPE;118;196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
45438;MARAGOGIPE;118;197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
45589;MARAGOGIPE;118;198;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
45773;MARAGOGIPE;118;199;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
45927;MARAGOGIPE;118;200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES;DISTRITO DE GUAPIRA - ZONA RURAL;GUAPIRA;RURAL
46079;MARAGOGIPE;118;235;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA;POVOADO BATATAN - ZONA RURAL;GUAPIRA;RURAL
46406;MARAGOGIPE;118;236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA;POVOADO BATATAN - ZONA RURAL;GUAPIRA;RURAL
46551;MARAGOGIPE;118;246;ESCOLA MUNICIPAL GETÚLIO VARGAS;POVOADO CACHOEIRINHA - ZONA RURAL;GUAPIRA;RURAL
46702;MARAGOGIPE;118;179;ESCOLA ODILARDO U. RODRIGUES;AV. PIMENTEL -  ZONA RURAL;NAGÉ;RURAL
46837;MARAGOGIPE;118;180;ESCOLA ODILARDO U. RODRIGUES;AV. PIMENTEL -  ZONA RURAL;NAGÉ;RURAL
47000;MARAGOGIPE;118;182;ESCOLA ODILARDO U. RODRIGUES;AV. PIMENTEL -  ZONA RURAL;NAGÉ;RURAL
47138;MARAGOGIPE;118;183;ESCOLA ODILARDO U. RODRIGUES;AV. PIMENTEL -  ZONA RURAL;NAGÉ;RURAL
47284;MARAGOGIPE;118;174;COLÉGIO CATARINA PARAGUAÇU;AV. PIMENTEL, 82 - ZONA RURAL;NAGÉ;RURAL
47444;MARAGOGIPE;118;175;COLÉGIO CATARINA PARAGUAÇU;AV. PIMENTEL, 82 - ZONA RURAL;NAGÉ;RURAL
47569;MARAGOGIPE;118;176;COLÉGIO CATARINA PARAGUAÇU;AV. PIMENTEL, 82 - ZONA RURAL;NAGÉ;RURAL
47706;MARAGOGIPE;118;177;COLÉGIO CATARINA PARAGUAÇU;AV. PIMENTEL, 82 - ZONA RURAL;NAGÉ;RURAL
47855;MARAGOGIPE;118;268;COLÉGIO CATARINA PARAGUAÇU;AV. PIMENTEL, 82 - ZONA RURAL;NAGÉ;RURAL
47997;MARAGOGIPE;118;228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES;POVOADO DE TABULEIRO DA NAVALHA - ZONA RURAL;NAGÉ;RURAL
48139;MARAGOGIPE;118;151;COLÉGIO PLINIO PEREIRA;RUA DR.PLACIDO ROCHA,S/N,PALMEIRAS- ZONA URBANA;PALMEIRAS;URBANA
48258;MARAGOGIPE;118;152;COLÉGIO PLINIO PEREIRA;RUA DR.PLACIDO ROCHA,S/N,PALMEIRAS- ZONA URBANA;PALMEIRAS;URBANA
48400;MARAGOGIPE;118;154;COLÉGIO PLINIO PEREIRA;RUA DR.PLACIDO ROCHA,S/N,PALMEIRAS- ZONA URBANA;PALMEIRAS;URBANA
48529;MARAGOGIPE;118;155;COLÉGIO PLINIO PEREIRA;RUA DR.PLACIDO ROCHA,S/N,PALMEIRAS- ZONA URBANA;PALMEIRAS;URBANA
48658;MARAGOGIPE;118;156;COLÉGIO PLINIO PEREIRA;RUA DR.PLACIDO ROCHA,S/N,PALMEIRAS- ZONA URBANA;PALMEIRAS;URBANA
48942;MARAGOGIPE;118;158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA;RUA PLÁCIDO ROCHA, S/N - ZONA URBANA;PALMEIRAS;URBANA
49063;MARAGOGIPE;118;159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA;RUA PLÁCIDO ROCHA, S/N - ZONA URBANA;PALMEIRAS;URBANA
49193;MARAGOGIPE;118;160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA;RUA PLÁCIDO ROCHA, S/N - ZONA URBANA;PALMEIRAS;URBANA
