NR_SECAO;NM_LOCAL_VOTACAO
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
155;COLÉGIO PLINIO PEREIRA
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
259;ESCOLA MUNICIPAL SÃO JOSÉ
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
230;PRÉDIO MUNICIPAL RECANTO VERDE
176;COLÉGIO CATARINA PARAGUAÇU
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
222;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
133;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
156;COLÉGIO PLINIO PEREIRA
222;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
235;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
259;ESCOLA MUNICIPAL SÃO JOSÉ
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
272;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
134;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
251;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
154;COLÉGIO PLINIO PEREIRA
240;PRÉDIO MUNICIPAL SENHOR DO BONFIM
152;COLÉGIO PLINIO PEREIRA
210;ESCOLA ESTADUAL KLEBER PACHECO
210;ESCOLA ESTADUAL KLEBER PACHECO
155;COLÉGIO PLINIO PEREIRA
136;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
245;ASSOCIAÇÃO RURAL NOVA ESPERANÇA
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
257;PRÉDIO MUNICIPAL CAMARÃO
246;ESCOLA MUNICIPAL GETÚLIO VARGAS
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
257;PRÉDIO MUNICIPAL CAMARÃO
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
245;ASSOCIAÇÃO RURAL NOVA ESPERANÇA
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
195;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
251;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
260;ESCOLA MUNICIPAL SANTO ANTÔNIO
129;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
246;ESCOLA MUNICIPAL GETÚLIO VARGAS
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
