NR_SECAO;NM_LOCAL_VOTACAO
230;PRÉDIO MUNICIPAL RECANTO VERDE
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
175;COLÉGIO CATARINA PARAGUAÇU
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
223;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
154;COLÉGIO PLINIO PEREIRA
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
154;COLÉGIO PLINIO PEREIRA
262;ESCOLA MUNICIPAL O BOM PASTOR
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
179;ESCOLA ODILARDO U. RODRIGUES
134;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
231;PRÉDIO MUNICIPAL RECANTO VERDE
145;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
155;COLÉGIO PLINIO PEREIRA
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
216;PRÉDIO MUNICIPAL CLERALDO ANDRADE
226;PRÉDIO MUNICIPAL CLERISTON ANDRADE
182;ESCOLA ODILARDO U. RODRIGUES
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
145;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
249;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
259;ESCOLA MUNICIPAL SÃO JOSÉ
133;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
152;COLÉGIO PLINIO PEREIRA
140;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
174;COLÉGIO CATARINA PARAGUAÇU
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
257;PRÉDIO MUNICIPAL CAMARÃO
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
195;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
257;PRÉDIO MUNICIPAL CAMARÃO
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
198;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
214;ESCOLA ESTADUAL KLEBER PACHECO
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
143;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
217;PRÉDIO MUNICIPAL CLERALDO ANDRADE
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
127;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
133;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
180;ESCOLA ODILARDO U. RODRIGUES
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
245;ASSOCIAÇÃO RURAL NOVA ESPERANÇA
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
177;COLÉGIO CATARINA PARAGUAÇU
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
257;PRÉDIO MUNICIPAL CAMARÃO
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
230;PRÉDIO MUNICIPAL RECANTO VERDE
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
174;COLÉGIO CATARINA PARAGUAÇU
179;ESCOLA ODILARDO U. RODRIGUES
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
212;ESCOLA ESTADUAL KLEBER PACHECO
261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
215;ESCOLA ESTADUAL KLEBER PACHECO
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
212;ESCOLA ESTADUAL KLEBER PACHECO
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
235;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
262;ESCOLA MUNICIPAL O BOM PASTOR
143;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
220;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
179;ESCOLA ODILARDO U. RODRIGUES
213;ESCOLA ESTADUAL KLEBER PACHECO
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
155;COLÉGIO PLINIO PEREIRA
204;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
154;COLÉGIO PLINIO PEREIRA
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
249;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
140;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
170;COLÉGIO POLIVALENTE DE MARAGOGIPE
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
259;ESCOLA MUNICIPAL SÃO JOSÉ
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
221;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE
213;ESCOLA ESTADUAL KLEBER PACHECO
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
231;PRÉDIO MUNICIPAL RECANTO VERDE
155;COLÉGIO PLINIO PEREIRA
155;COLÉGIO PLINIO PEREIRA
127;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
199;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
250;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
155;COLÉGIO PLINIO PEREIRA
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
131;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
152;COLÉGIO PLINIO PEREIRA
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
191;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
204;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
262;ESCOLA MUNICIPAL O BOM PASTOR
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
214;ESCOLA ESTADUAL KLEBER PACHECO
174;COLÉGIO CATARINA PARAGUAÇU
214;ESCOLA ESTADUAL KLEBER PACHECO
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
215;ESCOLA ESTADUAL KLEBER PACHECO
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
175;COLÉGIO CATARINA PARAGUAÇU
180;ESCOLA ODILARDO U. RODRIGUES
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
212;ESCOLA ESTADUAL KLEBER PACHECO
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
206;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
250;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
139;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
246;ESCOLA MUNICIPAL GETÚLIO VARGAS
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
151;COLÉGIO PLINIO PEREIRA
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
211;ESCOLA ESTADUAL KLEBER PACHECO
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
145;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
139;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
134;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
268;COLÉGIO CATARINA PARAGUAÇU
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
155;COLÉGIO PLINIO PEREIRA
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
258;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
255;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
195;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
154;COLÉGIO PLINIO PEREIRA
175;COLÉGIO CATARINA PARAGUAÇU
233;ESCOLA MUNICIPAL SILVIO V. MELO
177;COLÉGIO CATARINA PARAGUAÇU
179;ESCOLA ODILARDO U. RODRIGUES
170;COLÉGIO POLIVALENTE DE MARAGOGIPE
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
231;PRÉDIO MUNICIPAL RECANTO VERDE
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
134;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
233;ESCOLA MUNICIPAL SILVIO V. MELO
234;ESCOLA MUNICIPAL SILVIO V. MELO
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
264;ESCOLA ESTADUAL KLEBER PACHECO
233;ESCOLA MUNICIPAL SILVIO V. MELO
212;ESCOLA ESTADUAL KLEBER PACHECO
222;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
136;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
264;ESCOLA ESTADUAL KLEBER PACHECO
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
127;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
210;ESCOLA ESTADUAL KLEBER PACHECO
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
176;COLÉGIO CATARINA PARAGUAÇU
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
255;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
262;ESCOLA MUNICIPAL O BOM PASTOR
174;COLÉGIO CATARINA PARAGUAÇU
235;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
204;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
127;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
258;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
143;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
179;ESCOLA ODILARDO U. RODRIGUES
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
214;ESCOLA ESTADUAL KLEBER PACHECO
211;ESCOLA ESTADUAL KLEBER PACHECO
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
217;PRÉDIO MUNICIPAL CLERALDO ANDRADE
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
257;PRÉDIO MUNICIPAL CAMARÃO
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
230;PRÉDIO MUNICIPAL RECANTO VERDE
216;PRÉDIO MUNICIPAL CLERALDO ANDRADE
225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
183;ESCOLA ODILARDO U. RODRIGUES
226;PRÉDIO MUNICIPAL CLERISTON ANDRADE
211;ESCOLA ESTADUAL KLEBER PACHECO
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
257;PRÉDIO MUNICIPAL CAMARÃO
175;COLÉGIO CATARINA PARAGUAÇU
245;ASSOCIAÇÃO RURAL NOVA ESPERANÇA
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
140;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
171;COLÉGIO POLIVALENTE DE MARAGOGIPE
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
245;ASSOCIAÇÃO RURAL NOVA ESPERANÇA
234;ESCOLA MUNICIPAL SILVIO V. MELO
176;COLÉGIO CATARINA PARAGUAÇU
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
249;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
233;ESCOLA MUNICIPAL SILVIO V. MELO
223;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
260;ESCOLA MUNICIPAL SANTO ANTÔNIO
220;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
155;COLÉGIO PLINIO PEREIRA
129;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
234;ESCOLA MUNICIPAL SILVIO V. MELO
258;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
127;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
264;ESCOLA ESTADUAL KLEBER PACHECO
204;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
272;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
156;COLÉGIO PLINIO PEREIRA
205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
231;PRÉDIO MUNICIPAL RECANTO VERDE
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
240;PRÉDIO MUNICIPAL SENHOR DO BONFIM
151;COLÉGIO PLINIO PEREIRA
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
268;COLÉGIO CATARINA PARAGUAÇU
131;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
175;COLÉGIO CATARINA PARAGUAÇU
156;COLÉGIO PLINIO PEREIRA
231;PRÉDIO MUNICIPAL RECANTO VERDE
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
214;ESCOLA ESTADUAL KLEBER PACHECO
170;COLÉGIO POLIVALENTE DE MARAGOGIPE
226;PRÉDIO MUNICIPAL CLERISTON ANDRADE
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
198;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
174;COLÉGIO CATARINA PARAGUAÇU
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
250;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
155;COLÉGIO PLINIO PEREIRA
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
214;ESCOLA ESTADUAL KLEBER PACHECO
182;ESCOLA ODILARDO U. RODRIGUES
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
262;ESCOLA MUNICIPAL O BOM PASTOR
215;ESCOLA ESTADUAL KLEBER PACHECO
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
268;COLÉGIO CATARINA PARAGUAÇU
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
145;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
182;ESCOLA ODILARDO U. RODRIGUES
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
212;ESCOLA ESTADUAL KLEBER PACHECO
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
175;COLÉGIO CATARINA PARAGUAÇU
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
257;PRÉDIO MUNICIPAL CAMARÃO
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
246;ESCOLA MUNICIPAL GETÚLIO VARGAS
249;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
215;ESCOLA ESTADUAL KLEBER PACHECO
231;PRÉDIO MUNICIPAL RECANTO VERDE
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
136;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
179;ESCOLA ODILARDO U. RODRIGUES
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
155;COLÉGIO PLINIO PEREIRA
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
156;COLÉGIO PLINIO PEREIRA
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
235;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
264;ESCOLA ESTADUAL KLEBER PACHECO
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
243;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
155;COLÉGIO PLINIO PEREIRA
